CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12431,9,170,4370.52,5,5,5,555,Champions
12433,2,286,7205.39,5,5,5,555,Champions
12434,17,20,297.29,4,2,2,422,Potential Loyalists
12435,32,76,6096.04,4,4,5,445,Champions
12437,31,364,7731.99,4,5,5,455,Champions
12439,318,72,1158.18,1,4,4,144,Others
12440,98,32,859.2,2,2,3,223,At Risk
12441,2,11,173.55,5,1,1,511,Potential Loyalists
12443,368,21,485.31,1,2,2,122,At Risk
12445,56,20,301.58000000000004,3,2,2,322,Others
12449,46,10,768.6,3,1,3,313,Others
12450,35,29,490.32,4,2,2,422,Potential Loyalists
12451,99,157,3634.36,2,5,5,255,Others
12454,31,25,13151.44,4,2,5,425,Potential Loyalists
12455,81,137,3413.09,2,5,5,255,Others
12457,71,22,632.6800000000001,3,2,3,323,Others
12458,63,46,830.09,3,3,3,333,Others
12459,241,23,454.36,1,2,2,122,At Risk
12460,92,18,326.65,2,2,2,222,At Risk
12466,318,1,56.73,1,1,1,111,At Risk
12467,59,9,132.8,3,1,1,311,Others
12468,162,112,2941.2,2,4,5,245,Others
12469,158,76,3070.54,2,4,5,245,Others
12470,325,23,211.95,1,2,1,121,At Risk
12471,10,677,20139.74,5,5,5,555,Champions
12472,5,572,11308.48,5,5,5,555,Champions
12474,14,286,5048.66,5,5,5,555,Champions
12475,45,25,426.26,3,2,2,322,Others
12476,32,283,7298.99,4,5,5,455,Champions
12477,35,264,7056.63,4,5,5,455,Champions
12480,35,88,2183.2200000000003,4,4,5,445,Champions
12481,1,174,6765.07,5,5,5,555,Champions
12482,212,204,23691.4,1,5,5,155,Others
12483,14,64,2635.6,5,4,5,545,Champions
12484,119,129,1828.43,2,5,4,254,Others
12485,165,34,708.1,2,3,3,233,Others
12486,67,49,1037.28,3,3,4,334,Others
12487,366,2,285.3,1,1,2,112,At Risk
12490,14,217,4405.71,5,5,5,555,Champions
12492,39,22,452.0,3,2,2,322,Others
12494,1,34,626.77,5,3,3,533,Loyal Customers
12495,276,17,357.4,1,2,2,122,At Risk
12496,256,13,54.09,1,1,1,111,At Risk
12497,36,43,5205.400000000001,4,3,5,435,Loyal Customers
12499,196,27,393.72,1,2,2,122,At Risk
12500,71,85,1697.39,3,4,4,344,Others
12503,220,2,1126.0,1,1,4,114,At Risk
12504,53,11,297.0,3,1,2,312,Others
12505,44,42,955.2,3,3,3,333,Others
12507,220,28,539.25,1,2,3,123,At Risk
12510,95,112,4195.45,2,4,5,245,Others
12511,64,190,3084.02,3,5,5,355,Others
12514,277,33,580.08,1,3,3,133,Others
12516,66,48,1336.56,3,3,4,334,Others
12519,112,22,385.70000000000005,2,2,2,222,At Risk
12523,10,144,2582.38,5,5,5,555,Champions
12524,24,96,6640.39,4,4,5,445,Champions
12525,134,60,973.73,2,3,3,233,Others
12527,130,14,386.8,2,1,2,212,At Risk
12529,164,21,316.48,2,2,2,222,At Risk
12530,51,92,2096.98,3,4,4,344,Others
12531,322,110,1807.98,1,4,4,144,Others
12533,263,72,1367.89,1,4,4,144,Others
12537,44,43,732.94,3,3,3,333,Others
12538,14,13,276.5,5,1,2,512,Potential Loyalists
12539,86,231,5646.400000000001,2,5,5,255,Others
12540,14,293,8854.25,5,5,5,555,Champions
12542,120,39,481.88,2,3,2,232,Others
12543,84,43,980.25,2,3,3,233,Others
12547,136,13,175.78,2,1,1,211,At Risk
12549,211,49,1575.68,1,3,4,134,Others
12553,21,47,916.47,4,3,3,433,Loyal Customers
12554,84,26,468.5,2,2,2,222,At Risk
12555,318,1,129.23,1,1,1,111,At Risk
12557,7,25,6725.18,5,2,5,525,Potential Loyalists
12562,21,39,1185.18,4,3,4,434,Loyal Customers
12563,44,13,249.24,3,1,1,311,Others
12567,3,193,4308.58,5,5,5,555,Champions
12568,280,5,70.0,1,1,1,111,At Risk
12570,318,1,77.52,1,1,1,111,At Risk
12573,17,91,556.87,4,4,3,443,Loyal Customers
12575,93,38,622.82,2,3,3,233,Others
12576,28,54,826.89,4,3,3,433,Loyal Customers
12577,17,155,995.9499999999999,4,5,4,454,Champions
12578,21,58,1847.94,4,3,4,434,Loyal Customers
12580,212,34,637.2,1,3,3,133,Others
12582,58,81,1469.04,3,4,4,344,Others
12583,9,219,7166.06,5,5,5,555,Champions
12586,10,83,1865.73,5,4,4,544,Champions
12588,35,36,743.88,4,3,3,433,Loyal Customers
12589,57,145,4048.98,3,5,5,355,Others
12591,26,43,899.3,4,3,3,433,Loyal Customers
12592,155,63,2145.06,2,4,4,244,Others
12594,14,81,1751.89,5,4,4,544,Champions
12595,140,19,299.02,2,2,2,222,At Risk
12598,99,74,1511.01,2,4,4,244,Others
12599,17,71,1264.14,4,4,4,444,Champions
12600,7,68,2444.88,5,4,5,545,Champions
12601,40,6,104.2,3,1,1,311,Others
12605,12,76,1232.95,5,4,4,544,Champions
12606,318,1,21.0,1,1,1,111,At Risk
12608,40,16,415.79,3,2,2,322,Others
12609,10,115,2309.01,5,4,5,545,Champions
12613,24,174,3490.69,4,5,5,455,Champions
12615,49,165,3449.79,3,5,5,355,Others
12616,24,22,417.8,4,2,2,422,Potential Loyalists
12619,196,10,140.14,1,1,1,111,At Risk
12621,1,303,11086.14,5,5,5,555,Champions
12623,52,155,3442.7400000000002,3,5,5,355,Others
12625,145,97,2481.06,2,4,5,245,Others
12629,21,45,1558.22,4,3,4,434,Loyal Customers
12631,92,152,2841.07,2,5,5,255,Others
12632,156,35,804.88,2,3,3,233,Others
12633,18,205,3514.18,4,5,5,455,Champions
12634,171,20,490.0,2,2,2,222,At Risk
12635,28,78,1241.23,4,4,4,444,Champions
12636,374,1,141.0,1,1,1,111,At Risk
12637,14,245,2318.41,5,5,5,555,Champions
12638,275,9,249.8,1,1,1,111,At Risk
12639,70,42,826.27,3,3,3,333,Others
12643,21,28,5005.78,4,2,5,425,Potential Loyalists
12644,66,80,1440.58,3,4,4,344,Others
12645,45,87,1764.12,3,4,4,344,Others
12647,3,429,14201.53,5,5,5,555,Champions
12648,73,44,793.95,2,3,3,233,Others
12649,18,87,1671.14,4,4,4,444,Champions
12651,14,21,263.75,5,2,2,522,Potential Loyalists
12652,70,3,97.05000000000001,3,1,1,311,Others
12653,162,43,1950.98,2,3,4,234,Others
12655,59,16,261.35,3,2,2,322,Others
12656,61,121,2356.66,3,4,5,345,Others
12661,72,11,162.0,2,1,1,211,At Risk
12662,9,176,3138.2400000000002,5,5,5,555,Champions
12663,260,10,239.4,1,1,1,111,At Risk
12664,150,8,1188.16,2,1,4,214,At Risk
12665,53,14,250.6,3,1,1,311,Others
12666,30,31,1248.42,4,2,4,424,Potential Loyalists
12668,14,378,7637.53,5,5,5,555,Champions
12670,21,23,764.24,4,2,3,423,Potential Loyalists
12671,242,45,2622.481,1,3,5,135,Others
12672,231,12,211.15,1,1,1,111,At Risk
12673,37,32,619.5,3,2,3,323,Others
12675,189,113,958.5,1,4,3,143,Others
12676,44,62,1511.7,3,4,4,344,Others
12677,191,21,395.1,1,2,2,122,At Risk
12678,11,211,16652.72,5,5,5,555,Champions
12681,3,827,17080.74,5,5,5,555,Champions
12682,1,514,11745.69,5,5,5,555,Champions
12683,1,197,4220.21,5,5,5,555,Champions
12686,7,7,89.14,5,1,1,511,Potential Loyalists
12687,116,126,2138.91,2,4,4,244,Others
12691,56,7,134.6,3,1,1,311,Others
12692,273,13,110.95,1,1,1,111,At Risk
12693,32,40,847.11,4,3,3,433,Loyal Customers
12694,57,46,973.68,3,3,3,333,Others
12695,164,32,825.02,2,2,3,223,At Risk
12696,70,49,851.91,3,3,3,333,Others
12698,226,16,339.75,1,2,2,122,At Risk
12699,53,41,638.11,3,3,3,333,Others
12701,165,94,1648.7,2,4,4,244,Others
12703,269,53,722.98,1,3,3,133,Others
12705,19,265,4893.81,4,5,5,455,Champions
12708,4,153,2601.19,5,5,5,555,Champions
12709,2,292,21356.82,5,5,5,555,Champions
12711,247,60,1339.05,1,3,4,134,Others
12712,1,143,2797.53,5,5,5,555,Champions
12714,24,437,9384.85,4,5,5,455,Champions
12717,226,16,277.93,1,2,2,122,At Risk
12720,5,155,2478.94,5,5,5,555,Champions
12721,21,78,1356.95,4,4,4,444,Champions
12724,19,76,1286.11,4,4,4,444,Champions
12725,7,106,2266.76,5,4,5,545,Champions
12726,23,55,1405.5,4,3,4,434,Loyal Customers
12727,78,64,1698.8300000000002,2,4,4,244,Others
12728,19,15,233.84,4,1,1,411,Potential Loyalists
12730,157,47,829.25,2,3,3,233,Others
12731,78,119,6879.8,2,4,5,245,Others
12733,25,135,2040.92,4,5,4,454,Champions
12734,10,15,529.25,5,1,3,513,Potential Loyalists
12737,134,2,3710.5,2,1,5,215,At Risk
12738,8,11,155.35,5,1,1,511,Potential Loyalists
12739,21,51,1713.69,4,3,4,434,Loyal Customers
12741,165,16,406.07,2,2,2,222,At Risk
12742,261,67,1201.52,1,4,4,144,Others
12744,95,117,4037.77,2,4,5,245,Others
12745,122,23,925.41,2,2,3,223,At Risk
12746,176,17,254.55,2,2,2,222,At Risk
12747,5,154,5080.53,5,5,5,555,Champions
12748,1,2633,22879.66,5,5,5,555,Champions
12749,35,139,2806.48,4,5,5,455,Champions
12751,80,62,268.27,2,4,2,242,Others
12755,1,60,5218.71,5,3,5,535,Loyal Customers
12758,95,216,7111.650000000001,2,5,5,255,Others
12759,22,207,3489.3,4,5,5,455,Champions
12760,91,21,347.8,2,2,2,222,At Risk
12761,93,27,782.95,2,2,3,223,At Risk
12763,5,16,320.08,5,2,2,522,Potential Loyalists
12765,108,68,1404.58,2,4,4,244,Others
12766,2,145,3078.65,5,5,5,555,Champions
12767,11,43,949.82,5,3,3,533,Loyal Customers
12768,86,10,168.69,2,1,1,211,At Risk
12770,92,16,1895.0,2,2,4,224,At Risk
12771,121,15,282.3,2,1,2,212,At Risk
12773,200,6,124.25,1,1,1,111,At Risk
12774,171,6,98.7,2,1,1,211,At Risk
12775,24,15,300.08000000000004,4,1,2,412,Potential Loyalists
12776,303,4,55.5,1,1,1,111,At Risk
12777,93,26,519.45,2,2,3,223,At Risk
12778,32,64,953.4499999999999,4,4,3,443,Loyal Customers
12779,7,128,2740.91,5,5,5,555,Champions
12780,234,20,337.4,1,2,2,122,At Risk
12782,10,124,2287.32,5,4,5,545,Champions
12784,165,72,1230.33,2,4,4,244,Others
12785,171,42,788.45,2,3,3,233,Others
12786,245,18,728.5000000000001,1,2,3,123,At Risk
12787,49,24,398.52,3,2,2,322,Others
12788,99,26,444.90000000000003,2,2,2,222,At Risk
12789,148,4,181.5,2,1,1,211,At Risk
12790,46,16,266.93,3,2,2,322,Others
12791,9,28,863.51,5,2,3,523,Potential Loyalists
12792,170,22,426.47,2,2,2,222,At Risk
12793,7,27,471.85,5,2,2,522,Potential Loyalists
12796,264,7,381.0,1,1,2,112,At Risk
12797,1,30,552.08,5,2,3,523,Potential Loyalists
12798,57,25,1533.89,3,2,4,324,Others
12799,165,15,219.35,2,1,1,211,At Risk
12800,106,34,584.25,2,3,3,233,Others
12801,136,50,1071.82,2,3,4,234,Others
12802,78,113,1988.84,2,4,4,244,Others
12803,29,55,1092.81,4,3,4,434,Loyal Customers
12804,101,67,327.02,2,4,2,242,Others
12805,17,58,1434.95,4,3,4,434,Loyal Customers
12806,71,67,2878.96,3,4,5,345,Others
12807,19,16,330.35,4,2,2,422,Potential Loyalists
12808,4,26,422.45,5,2,2,522,Potential Loyalists
12809,201,56,1266.63,1,3,4,134,Others
12810,170,32,534.99,2,3,3,233,Others
12811,14,25,519.0500000000001,5,2,3,523,Potential Loyalists
12813,137,45,1687.8,2,3,4,234,Others
12817,35,21,524.94,4,2,3,423,Potential Loyalists
12819,94,19,540.52,2,2,3,223,At Risk
12820,33,100,1747.18,4,4,4,444,Champions
12821,247,7,128.08,1,1,1,111,At Risk
12823,30,13,4742.0,4,1,5,415,Potential Loyalists
12825,157,24,518.63,2,2,3,223,At Risk
12826,1,75,1481.03,5,4,4,544,Champions
12829,186,8,92.3,1,1,1,111,At Risk
12831,99,13,236.06,2,1,1,211,At Risk
12835,63,620,6043.31,3,5,5,355,Others
12836,25,239,3972.76,4,5,5,455,Champions
12837,205,80,554.31,1,4,3,143,Others
12838,9,300,2715.35,5,5,5,555,Champions
12839,3,262,4480.31,5,5,5,555,Champions
12840,73,63,1315.2,2,4,4,244,Others
12841,5,282,3518.33,5,5,5,555,Champions
12842,40,14,799.0,3,1,3,313,Others
12843,18,118,4886.15,4,4,5,445,Champions
12844,78,51,322.64,2,3,2,232,Others
12846,318,1,15.58,1,1,1,111,At Risk
12847,23,35,765.36,4,3,3,433,Loyal Customers
12848,311,16,208.0,1,2,1,121,At Risk
12849,17,97,2039.67,4,4,4,444,Champions
12850,81,2,330.0,2,1,2,212,At Risk
12851,113,30,148.95,2,2,1,221,At Risk
12853,63,70,1950.4,3,4,4,344,Others
12854,197,155,1669.52,1,5,4,154,Others
12855,8,67,612.84,5,4,3,543,Loyal Customers
12857,72,75,2581.6,2,4,5,245,Others
12858,19,49,177.92,4,3,1,431,Loyal Customers
12859,94,21,575.1,2,2,3,223,At Risk
12860,329,17,55.47,1,2,1,121,At Risk
12861,255,4,68.25,1,1,1,111,At Risk
12862,61,133,1008.32,3,5,4,354,Others
12863,15,43,2271.35,5,3,5,535,Loyal Customers
12864,144,4,152.45,2,1,1,211,At Risk
12865,14,100,1755.24,5,4,4,544,Champions
12866,110,37,668.23,2,3,3,233,Others
12867,33,525,3876.47,4,5,5,455,Champions
12868,9,39,640.0,5,3,3,533,Loyal Customers
12869,317,37,337.66999999999996,1,3,2,132,Others
12870,11,93,1676.95,5,4,4,544,Champions
12871,75,7,363.38,2,1,2,212,At Risk
12872,1,370,3085.52,5,5,5,555,Champions
12873,33,31,1653.3,4,2,4,424,Potential Loyalists
12874,21,48,948.42,4,3,3,433,Loyal Customers
12875,107,6,1013.7600000000001,2,1,4,214,At Risk
12876,30,85,1863.77,4,4,4,444,Champions
12877,37,123,1419.4,3,4,4,344,Others
12880,17,36,640.13,4,3,3,433,Loyal Customers
12887,19,13,222.4,4,1,1,411,Potential Loyalists
12889,17,25,385.46000000000004,4,2,2,422,Potential Loyalists
12890,23,57,336.8,4,3,2,432,Loyal Customers
12891,94,8,509.5,2,1,3,213,At Risk
12892,32,18,263.38,4,2,2,422,Potential Loyalists
12894,211,21,157.35,1,2,1,121,At Risk
12897,17,10,297.75,4,1,2,412,Potential Loyalists
12898,99,32,310.96,2,3,2,232,Others
12899,49,17,366.4,3,2,2,322,Others
12900,58,13,340.33000000000004,3,1,2,312,Others
12903,64,41,833.5300000000001,3,3,3,333,Others
12905,212,54,1018.42,1,3,4,134,Others
12907,31,25,508.91,4,2,3,423,Potential Loyalists
12908,16,3,1026.0,4,1,4,414,Potential Loyalists
12909,60,67,924.52,3,4,3,343,Others
12910,15,62,2721.48,5,4,5,545,Champions
12911,187,248,1680.47,1,5,4,154,Others
12913,4,46,4217.23,5,3,5,535,Loyal Customers
12914,36,9,223.98,4,1,1,411,Potential Loyalists
12915,8,51,811.1,5,3,3,533,Loyal Customers
12916,78,77,1647.8700000000001,2,4,4,244,Others
12917,36,48,3765.2,4,3,5,435,Loyal Customers
12918,262,1,10953.5,1,1,5,115,At Risk
12920,207,32,323.86,1,3,2,132,Others
12921,2,814,19333.95,5,5,5,555,Champions
12923,26,33,612.9,4,3,3,433,Loyal Customers
12924,29,44,1535.7,4,3,4,434,Loyal Customers
12925,228,5,35.28,1,1,1,111,At Risk
12926,47,274,1548.46,3,5,4,354,Others
12927,30,11,197.31,4,1,1,411,Potential Loyalists
12928,14,95,2242.19,5,4,5,545,Champions
12931,16,136,50291.38,4,5,5,455,Champions
12932,175,95,1698.56,2,4,4,244,Others
12933,16,190,1079.5,4,5,4,454,Champions
12934,372,2,181.65,1,1,1,111,At Risk
12935,11,125,2083.16,5,4,4,544,Champions
12937,99,97,1593.34,2,4,4,244,Others
12939,15,39,13683.0,5,3,5,535,Loyal Customers
12941,360,27,377.49,1,2,2,122,At Risk
12942,1,16,258.75,5,2,2,522,Potential Loyalists
12943,194,25,496.5,1,2,2,122,At Risk
12945,292,28,437.16,1,2,2,122,At Risk
12946,72,20,324.45,2,2,2,222,At Risk
12947,9,17,304.04,5,2,2,522,Potential Loyalists
12948,366,9,252.48,1,1,1,111,At Risk
12949,18,500,11359.48,4,5,5,455,Champions
12951,22,131,2149.65,4,5,5,455,Champions
12953,158,31,498.96,2,2,2,222,At Risk
12954,274,10,162.45,1,1,1,111,At Risk
12956,320,23,413.82,1,2,2,122,At Risk
12957,177,252,4689.43,1,5,5,155,Others
12958,36,57,539.49,4,3,3,433,Loyal Customers
12959,120,8,150.95,2,1,1,211,At Risk
12960,49,70,1322.0700000000002,3,4,4,344,Others
12961,15,40,211.99,5,3,1,531,Loyal Customers
12963,1,95,1744.96,5,4,4,544,Champions
12964,73,26,132.24,2,2,1,221,At Risk
12967,7,61,2646.02,5,3,5,535,Loyal Customers
12969,238,5,122.45,1,1,1,111,At Risk
12970,16,232,1072.73,4,5,4,454,Champions
12971,2,120,4782.88,5,4,5,545,Champions
12972,49,77,1161.2,3,4,4,344,Others
12973,49,6,385.55,3,1,2,312,Others
12974,201,24,264.15,1,2,2,122,At Risk
12975,72,112,2100.09,2,4,4,244,Others
12976,14,132,2417.78,5,5,5,555,Champions
12977,137,50,478.39,2,3,2,232,Others
12978,21,163,2502.82,4,5,5,455,Champions
12979,365,56,517.7,1,3,3,133,Others
12980,22,32,8870.880000000001,4,3,5,435,Loyal Customers
12982,30,150,2354.27,4,5,5,455,Champions
12983,234,30,490.08,1,2,2,122,At Risk
12986,64,102,2729.84,3,4,5,345,Others
12987,56,38,753.51,3,3,3,333,Others
12989,60,33,6627.64,3,3,5,335,Others
12990,53,14,546.0,3,1,3,313,Others
12991,25,14,261.06,4,1,2,412,Potential Loyalists
12992,361,6,93.35,1,1,1,111,At Risk
12993,81,49,844.87,2,3,3,233,Others
12996,11,22,355.5,5,2,2,522,Potential Loyalists
12997,30,48,884.02,4,3,3,433,Loyal Customers
12998,128,58,920.08,2,3,3,233,Others
13000,361,31,497.65,1,2,2,122,At Risk
13001,40,687,14353.28,3,5,5,355,Others
13002,52,16,293.18,3,2,2,322,Others
13004,22,411,5994.94,4,5,5,455,Champions
13005,67,30,485.98,3,2,2,322,Others
13007,215,11,175.25,1,1,1,111,At Risk
13008,33,21,382.66,4,2,2,422,Potential Loyalists
13009,308,4,234.0,1,1,1,111,At Risk
13010,10,12,330.12,5,1,2,512,Potential Loyalists
13011,8,3,50.550000000000004,5,1,1,511,Potential Loyalists
13012,65,65,1310.99,3,4,4,344,Others
13013,7,335,7814.83,5,5,5,555,Champions
13014,68,115,1914.8,3,4,4,344,Others
13015,74,173,3240.14,2,5,5,255,Others
13018,49,145,2485.46,3,5,5,355,Others
13019,15,55,1229.95,5,3,4,534,Loyal Customers
13020,198,39,618.96,1,3,3,133,Others
13021,10,126,2270.86,5,4,5,545,Champions
13022,65,5,65.3,3,1,1,311,Others
13023,164,36,759.13,2,3,3,233,Others
13024,106,31,555.87,2,2,3,223,At Risk
13025,367,13,323.39,1,1,2,112,At Risk
13026,124,42,757.72,2,3,3,233,Others
13027,21,60,10423.2,4,3,5,435,Loyal Customers
13029,10,7,679.8,5,1,3,513,Potential Loyalists
13030,4,60,427.74,5,3,2,532,Loyal Customers
13031,43,435,3419.27,3,5,5,355,Others
13032,28,141,1833.3700000000001,4,5,4,454,Champions
13033,65,2,30.0,3,1,1,311,Others
13034,5,18,279.91,5,2,2,522,Potential Loyalists
13035,67,15,442.32,3,1,2,312,Others
13036,320,6,307.1,1,1,2,112,At Risk
13037,35,184,3033.88,4,5,5,455,Champions
13039,220,55,1010.73,1,3,4,134,Others
13041,86,35,799.13,2,3,3,233,Others
13042,234,199,1556.54,1,5,4,154,Others
13044,128,386,4293.43,2,5,5,255,Others
13045,37,27,503.64,3,2,2,322,Others
13046,92,21,319.94,2,2,2,222,At Risk
13047,9,223,5557.62,5,5,5,555,Champions
13048,72,132,2248.3,2,5,5,255,Others
13049,25,12,751.5600000000001,4,1,3,413,Potential Loyalists
13050,2,606,6507.67,5,5,5,555,Champions
13051,214,4,155.8,1,1,1,111,At Risk
13052,56,235,2820.38,3,5,5,355,Others
13053,257,17,127.65,1,2,1,121,At Risk
13055,65,78,1106.7,3,4,4,344,Others
13056,187,19,209.48,1,2,1,121,At Risk
13057,166,41,722.09,2,3,3,233,Others
13059,49,194,2119.77,3,5,4,354,Others
13063,116,12,188.4,2,1,1,211,At Risk
13064,186,25,561.25,1,2,3,123,At Risk
13065,9,62,1055.05,5,4,4,544,Champions
13067,45,17,393.05,3,2,2,322,Others
13069,5,691,5247.01,5,5,5,555,Champions
13070,95,24,522.9,2,2,3,223,At Risk
13071,248,12,129.22,1,1,1,111,At Risk
13073,47,27,418.08,3,2,2,322,Others
13074,147,29,1378.74,2,2,4,224,At Risk
13076,93,9,135.4,2,1,1,211,At Risk
13077,2,235,2335.4,5,5,5,555,Champions
13078,2,443,16904.51,5,5,5,555,Champions
13079,53,11,199.08,3,1,1,311,Others
13080,37,13,222.65,3,1,1,311,Others
13081,7,1330,30867.77,5,5,5,555,Champions
13082,60,56,3722.12,3,3,5,335,Others
13083,61,4,91.67999999999999,3,1,1,311,Others
13084,127,2,122.39999999999999,2,1,1,211,At Risk
13085,315,62,2017.2,1,4,4,144,Others
13086,18,47,439.33000000000004,4,3,2,432,Loyal Customers
13087,362,15,313.64,1,1,2,112,At Risk
13088,53,20,236.11,3,2,1,321,Others
13089,4,1544,57912.03,5,5,5,555,Champions
13090,1,128,5192.27,5,5,5,555,Champions
13091,365,24,1976.0,1,2,4,124,At Risk
13092,50,80,1662.45,3,4,4,344,Others
13093,9,891,47111.18,5,5,5,555,Champions
13094,4,8,505.80000000000007,5,1,2,512,Potential Loyalists
13096,30,1,419.7000000000001,4,1,2,412,Potential Loyalists
13097,24,594,7378.8,4,5,5,455,Champions
13101,134,43,594.21,2,3,3,233,Others
13102,1,188,5272.83,5,5,5,555,Champions
13103,73,25,465.70000000000005,2,2,2,222,At Risk
13104,51,10,610.62,3,1,3,313,Others
13105,72,1,72.0,2,1,1,211,At Risk
13106,49,15,526.96,3,1,3,313,Others
13107,49,120,3721.45,3,4,5,345,Others
13108,8,35,748.46,5,3,3,533,Loyal Customers
13109,187,23,347.49,1,2,2,122,At Risk
13110,73,107,1468.8,2,4,4,244,Others
13111,354,12,321.88000000000005,1,1,2,112,At Risk
13112,177,2,20.599999999999998,1,1,1,111,At Risk
13113,2,192,6379.7699999999995,5,5,5,555,Champions
13114,366,16,234.38,1,2,1,121,At Risk
13115,15,194,3199.92,5,5,5,555,Champions
13117,1,112,1658.9,5,4,4,544,Champions
13118,12,69,1217.6,5,4,4,544,Champions
13119,304,11,134.9,1,1,1,111,At Risk
13123,108,45,506.75,2,3,3,233,Others
13124,21,63,916.12,4,4,3,443,Loyal Customers
13125,159,21,158.57,2,2,1,221,At Risk
13126,2,111,1898.61,5,4,4,544,Champions
13128,267,1,263.5,1,1,2,112,At Risk
13129,88,11,233.25,2,1,1,211,At Risk
13131,54,105,2240.4700000000003,3,4,5,345,Others
13133,95,5,90.65,2,1,1,211,At Risk
13134,38,23,681.65,3,2,3,323,Others
13135,127,17,275.45,2,2,2,222,At Risk
13136,11,188,3666.9500000000003,5,5,5,555,Champions
13137,22,737,4062.29,4,5,5,455,Champions
13138,8,36,504.85,5,3,2,532,Loyal Customers
13139,73,95,3138.04,2,4,5,245,Others
13140,2,76,791.96,5,4,3,543,Loyal Customers
13141,21,290,5279.83,4,5,5,455,Champions
13143,220,23,405.1,1,2,2,122,At Risk
13144,67,3,24.4,3,1,1,311,Others
13145,8,4,805.0,5,1,3,513,Potential Loyalists
13148,25,474,4914.6900000000005,4,5,5,455,Champions
13150,120,8,449.96999999999997,2,1,2,212,At Risk
13151,261,102,1322.8700000000001,1,4,4,144,Others
13152,53,135,2146.38,3,5,5,355,Others
13154,35,93,1624.84,4,4,4,444,Champions
13155,4,79,778.4200000000001,5,4,3,543,Loyal Customers
13156,21,104,1586.54,4,4,4,444,Champions
13157,45,164,3946.14,3,5,5,355,Others
13158,24,21,307.12,4,2,2,422,Potential Loyalists
13161,136,26,366.13,2,2,2,222,At Risk
13162,16,159,7587.2,4,5,5,455,Champions
13163,246,2,17.65,1,1,1,111,At Risk
13164,205,10,372.2,1,1,2,112,At Risk
13165,49,7,429.68,3,1,2,312,Others
13166,50,28,466.98,3,2,2,322,Others
